　	16.0	11000
朋	6.0	11101000
友	6.0	11101001
买	1.0	11101010
来	1.0	11101011
纸	2.0	11101100
笔	1.0	11101101
砚	1.0	11101110
台	1.0	11101111
，	22.0	0011
请	2.0	1100100
我	13.0	1100101
题	1.0	1100110
几	1.0	1100111
个	2.0	11110000
字	6.0	11110001
让	1.0	11110010
他	1.0	11110011
挂	2.0	11110100
在	2.0	11110101
新	1.0	11110110
居	1.0	11110111
的	14.0	1101000
客	1.0	1101001
厅	1.0	1101010
补	1.0	1101011
壁	1.0	1011000
。	8.0	1011001
这	4.0	1011010
使	1.0	1011011
感	3.0	1011100
到	6.0	1011101
有	4.0	1011110
些	1.0	1011111
为	2.0	00001000
难	1.0	00001001
因	2.0	00001010
自	1.0	00001011
知	1.0	1101100
写	4.0	1101101
得	3.0	1101110
不	8.0	1101111
好	4.0	00001100
看	3.0	00001101
何	1.0	00001110
况	1.0	00001111
已	1.0	10100000
经	2.0	10100001
很	2.0	10100010
多	4.0	10100011
年	1.0	10100100
没	1.0	10100101
书	1.0	10100110
法	1.0	10100111
了	9.0	10000

	14.0	10001
说	6.0	010000
：	4.0	010001
“	7.0	010010
怕	3.0	010011
什	4.0	1001000
么	4.0	1001001
？	4.0	1001010
你	3.0	1001011
光	1.0	1001100
荣	1.0	1001101
都	1.0	1001110
”	7.0	1001111
便	1.0	10101000
面	1.0	10101001
前	1.0	10101010
展	1.0	10101011
、	4.0	10101100
磨	1.0	10101101
墨	1.0	10101110
四	1.0	10101111
常	5.0	010100
想	4.0	010101
一	5.0	010110
二	5.0	010111
是	5.0	1110000
意	8.0	1110001
思	3.0	1110010
幅	1.0	1110011
包	1.0	00010000
涵	1.0	00010001
件	1.0	00010010
处	1.0	00010011
就	4.0	00010100
原	1.0	00010101
谅	1.0	00010110
玩	1.0	00010111
笑	1.0	00011000
态	1.0	00011001
度	1.0	00011010
讲	1.0	00011011
正	1.0	00011100
底	1.0	00011101
俗	1.0	00011110
话	1.0	00011111
‘	1.0	11111000
人	2.0	11111001
生	3.0	11111010
如	6.0	11111011
事	4.0	11111100
十	1.0	11111101
之	1.0	11111110
八	3.0	11111111
九	3.0	01100000
’	1.0	01100001
们	2.0	01100010
命	1.0	01100011
里	1.0	01100100
情	2.0	01100101
占	1.0	01100110
绝	1.0	01100111
大	1.0	01101000
部	1.0	01101001
分	1.0	01101010
此	1.0	01101011
活	1.0	01101100
着	2.0	01101101
本	1.0	01101110
身	1.0	01101111
痛	1.0	01110000
苦	1.0	01110001
但	1.0	01110010
扣	1.0	01110011
除	1.0	01110100
成	3.0	01110101
至	1.0	01110110
少	1.0	01110111
还	1.0	01111000
快	2.0	01111001
乐	2.0	01111010
欣	1.0	01111011
慰	1.0	01111100
果	1.0	01111101
要	2.0	01111110
过	1.0	01111111
那	1.0	00100000
样	1.0	00100001
会	1.0	00100010
庆	1.0	00100011
幸	1.0	00100100
懂	1.0	00100101
珍	1.0	00100110
惜	1.0	00100111
致	1.0	00101000
被	1.0	00101001
所	1.0	00101010
打	1.0	00101011
倒	1.0	00101100
听	1.0	00101101
非	1.0	00101110
欢	1.0	00101111
喜	1.0	0000000
抱	1.0	0000001
回	1.0	0000010
家	1.0	0000011
